Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",11.3563,11.2719,11.4070,11.1571,11.2807,11.2946
"[0.97, 0.03]",11.3671,11.2935,11.4150,11.2118,11.3007,11.3176
"[0.93, 0.07]",11.3767,11.3094,11.4134,11.2423,11.2932,11.3270
"[0.90, 0.10]",11.3895,11.3345,11.4246,11.2686,11.3346,11.3504
"[0.86, 0.14]",11.3978,11.3623,11.4353,11.3033,11.3487,11.3695
"[0.83, 0.17]",11.4141,11.3608,11.4386,11.3340,11.3894,11.3874
"[0.79, 0.21]",11.4371,11.3899,11.4543,11.3650,11.4193,11.4131
"[0.76, 0.24]",11.4416,11.4285,11.4832,11.3955,11.4366,11.4371
"[0.72, 0.28]",11.4772,11.4481,11.4957,11.4412,11.4586,11.4642
"[0.69, 0.31]",11.4978,11.4789,11.5060,11.4547,11.4774,11.4830
"[0.66, 0.34]",11.5211,11.5055,11.5443,11.4878,11.5177,11.5153
"[0.62, 0.38]",11.5394,11.5417,11.5592,11.5266,11.5413,11.5416
"[0.59, 0.41]",11.5662,11.5553,11.5669,11.5504,11.5630,11.5604
"[0.55, 0.45]",11.5628,11.5877,11.5682,11.5435,11.5640,11.5652
"[0.52, 0.48]",11.5694,11.5622,11.5803,11.4854,11.3876,11.5170
"[0.48, 0.52]",11.4310,11.4282,11.4612,11.5294,11.4331,11.4566
"[0.45, 0.55]",11.4846,11.5076,11.4859,11.5225,11.5161,11.5033
"[0.41, 0.59]",11.5328,11.5289,11.4790,11.5164,11.5100,11.5134
"[0.38, 0.62]",11.5029,11.5043,11.3843,11.4867,11.5182,11.4793
"[0.34, 0.66]",11.4842,11.4796,11.4879,11.4574,11.4939,11.4806
"[0.31, 0.69]",11.4645,11.4579,11.4622,11.4250,11.4490,11.4517
"[0.28, 0.72]",11.4409,11.4214,11.4276,11.3867,11.4282,11.4210
"[0.24, 0.76]",11.4011,11.4000,11.4051,11.3528,11.3979,11.3914
"[0.21, 0.79]",11.3714,11.3605,11.3883,11.3295,11.3641,11.3628
"[0.17, 0.83]",11.3448,11.3594,11.3826,11.3220,11.3463,11.3510
"[0.14, 0.86]",11.3349,11.3520,11.3399,11.2882,11.2301,11.3090
"[0.10, 0.90]",11.3059,11.3251,11.3008,11.2994,11.2593,11.2981
"[0.07, 0.93]",11.3005,11.3043,11.3143,11.2747,11.2294,11.2846
"[0.03, 0.97]",11.2801,11.2881,11.2956,11.2561,11.2276,11.2695
"[0.00, 1.00]",11.2396,11.2864,11.2976,11.2589,11.1125,11.2390
