Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",10.9387,10.7377,10.7675,10.7727,10.7878,10.8009
"[0.97, 0.03]",11.0201,10.8734,10.8742,10.8425,10.8871,10.8995
"[0.93, 0.07]",11.0700,10.9916,11.0118,10.9228,10.9728,10.9938
"[0.90, 0.10]",11.1149,11.0931,11.1024,11.0694,11.0663,11.0892
"[0.86, 0.14]",11.1953,11.1954,11.1861,11.1389,11.1428,11.1717
"[0.83, 0.17]",11.2609,11.2604,11.2582,11.2418,11.2254,11.2493
"[0.79, 0.21]",11.3253,11.3263,11.3163,11.3250,11.3126,11.3211
"[0.76, 0.24]",11.3812,11.3744,11.3858,11.3813,11.3630,11.3772
"[0.72, 0.28]",11.4236,11.4175,11.4312,11.4340,11.4133,11.4239
"[0.69, 0.31]",11.4760,11.4733,11.4734,11.4787,11.4604,11.4724
"[0.66, 0.34]",11.5094,11.4897,11.5081,11.5101,11.4930,11.5021
"[0.62, 0.38]",11.5475,11.5340,11.5243,11.5363,11.5328,11.5350
"[0.59, 0.41]",11.5558,11.5564,11.5627,11.5547,11.5573,11.5574
"[0.55, 0.45]",11.5771,11.5710,11.5691,11.5838,11.5596,11.5721
"[0.52, 0.48]",11.5717,11.5730,11.5769,11.5892,11.5689,11.5760
"[0.48, 0.52]",11.5686,11.5716,11.5840,11.5693,11.5786,11.5744
"[0.45, 0.55]",11.5653,11.4853,11.5480,11.5686,11.5617,11.5458
"[0.41, 0.59]",11.4177,11.5337,11.5030,11.4743,11.4783,11.4814
"[0.38, 0.62]",11.5173,11.5357,11.5131,11.5210,11.5276,11.5229
"[0.34, 0.66]",11.4876,11.5009,11.5093,11.4946,11.5029,11.4991
"[0.31, 0.69]",11.4622,11.4593,11.4624,11.4545,11.4677,11.4612
"[0.28, 0.72]",11.4138,11.4329,11.4338,11.4412,11.4409,11.4325
"[0.24, 0.76]",11.3619,11.3932,11.4035,11.3736,11.3878,11.3840
"[0.21, 0.79]",11.3084,11.3490,11.3330,11.3412,11.3229,11.3309
"[0.17, 0.83]",11.2625,11.3012,11.2966,11.2917,11.3021,11.2908
"[0.14, 0.86]",11.1897,11.2833,11.2542,11.2334,11.2268,11.2375
"[0.10, 0.90]",11.0995,11.2152,11.1433,11.0842,11.1267,11.1338
"[0.07, 0.93]",10.9876,11.2084,11.0386,11.0982,11.1171,11.0900
"[0.03, 0.97]",10.9711,11.1217,10.9922,10.9861,11.0807,11.0304
"[0.00, 1.00]",10.8736,11.0897,10.8455,10.9695,10.9862,10.9529
