Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",11.0266,10.8054,10.9861,10.5356,10.9780,10.8664
"[0.97, 0.03]",11.0606,10.8786,11.0321,10.7749,11.0729,10.9638
"[0.93, 0.07]",11.1454,10.9514,11.0973,10.8909,11.1527,11.0475
"[0.90, 0.10]",11.1955,11.0078,11.1748,11.1580,11.1821,11.1436
"[0.86, 0.14]",11.2897,11.1360,11.2167,11.2595,11.2468,11.2297
"[0.83, 0.17]",11.3475,11.2848,11.2572,11.3366,11.3131,11.3078
"[0.79, 0.21]",11.3955,11.2570,11.2937,10.9897,11.3367,11.2545
"[0.76, 0.24]",11.3956,11.3025,11.3448,10.9075,11.3700,11.2641
"[0.72, 0.28]",11.4301,11.3792,11.3938,11.0556,11.3755,11.3268
"[0.69, 0.31]",11.4157,11.3685,11.4132,11.3482,11.4002,11.3892
"[0.66, 0.34]",11.4263,11.3922,11.4465,11.3934,11.3114,11.3940
"[0.62, 0.38]",11.4242,11.4025,11.4581,11.4099,11.4202,11.4230
"[0.59, 0.41]",11.4309,11.4178,11.4325,11.4025,11.3761,11.4120
"[0.55, 0.45]",11.4407,11.3939,11.4551,11.2420,11.4244,11.3912
"[0.52, 0.48]",11.4249,11.2855,11.4286,11.3462,11.3843,11.3739
"[0.48, 0.52]",11.4168,11.3709,11.2980,11.2406,11.3952,11.3443
"[0.45, 0.55]",11.3875,11.3707,11.2825,11.3638,11.4246,11.3658
"[0.41, 0.59]",11.3675,11.3711,11.2684,11.3209,11.3870,11.3430
"[0.38, 0.62]",11.3577,11.3473,11.1235,11.3231,11.3723,11.3048
"[0.34, 0.66]",11.1707,11.1835,11.1764,11.3076,11.2961,11.2269
"[0.31, 0.69]",11.2687,10.9441,11.2444,11.2792,11.0392,11.1551
"[0.28, 0.72]",11.1083,10.9973,11.1751,11.2047,11.1481,11.1267
"[0.24, 0.76]",11.0107,10.4582,10.9378,11.1584,10.9454,10.9021
"[0.21, 0.79]",10.7100,10.6833,10.7657,11.1011,11.0458,10.8612
"[0.17, 0.83]",10.3725,10.5331,10.5877,11.0072,10.9814,10.6964
"[0.14, 0.86]",10.3151,10.4488,10.4434,10.8514,10.7312,10.5580
"[0.10, 0.90]",10.2888,10.3795,10.2596,10.8527,10.7709,10.5103
"[0.07, 0.93]",10.3575,10.5000,10.2416,10.7547,10.5915,10.4891
"[0.03, 0.97]",10.4375,10.4394,10.3124,10.6656,10.5113,10.4732
"[0.00, 1.00]",10.5663,10.3718,10.2432,10.5559,10.5616,10.4598
