Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",11.3339,11.3260,11.4380,11.2509,11.3764,11.3450
"[0.97, 0.03]",11.3442,11.3595,11.4215,11.2656,11.3824,11.3547
"[0.93, 0.07]",11.3728,11.3652,11.4287,11.3122,11.4020,11.3762
"[0.90, 0.10]",11.3714,11.3687,11.4453,11.3409,11.3996,11.3852
"[0.86, 0.14]",11.3938,11.3821,11.4560,11.3632,11.4081,11.4006
"[0.83, 0.17]",11.4030,11.3877,11.4603,11.3984,11.4121,11.4123
"[0.79, 0.21]",11.4106,11.4148,11.4661,11.4252,11.4299,11.4293
"[0.76, 0.24]",11.4321,11.4355,11.4965,11.4378,11.4447,11.4493
"[0.72, 0.28]",11.4382,11.4722,11.5023,11.4796,11.4745,11.4734
"[0.69, 0.31]",11.4752,11.4840,11.5215,11.4848,11.4898,11.4910
"[0.66, 0.34]",11.4923,11.5148,11.5414,11.5197,11.4979,11.5132
"[0.62, 0.38]",11.5248,11.5448,11.5510,11.5518,11.5318,11.5409
"[0.59, 0.41]",11.5277,11.5356,11.5629,11.5412,11.5586,11.5452
"[0.55, 0.45]",11.5450,11.5661,11.5451,11.5400,11.5474,11.5487
"[0.52, 0.48]",11.5423,11.5438,11.5400,11.4518,11.5504,11.5257
"[0.48, 0.52]",11.5434,11.5354,11.5206,11.4636,11.4711,11.5068
"[0.45, 0.55]",11.5185,11.3837,11.4740,11.4563,11.0579,11.3781
"[0.41, 0.59]",11.1277,11.4612,11.4035,11.4374,11.4317,11.3723
"[0.38, 0.62]",11.3852,11.4626,11.2703,11.4153,11.4558,11.3978
"[0.34, 0.66]",11.4327,11.4034,11.1531,11.3877,11.4529,11.3659
"[0.31, 0.69]",11.3873,11.3885,11.3876,11.3429,11.3837,11.3780
"[0.28, 0.72]",11.3417,11.3264,11.3483,11.3087,11.3703,11.3391
"[0.24, 0.76]",11.3127,11.3008,11.3345,11.2346,11.3094,11.2984
"[0.21, 0.79]",11.2838,11.2942,11.3090,11.2134,11.2959,11.2793
"[0.17, 0.83]",11.2215,11.2274,11.3014,11.1587,11.2653,11.2349
"[0.14, 0.86]",11.1902,11.2371,11.2780,11.1678,11.2264,11.2199
"[0.10, 0.90]",11.1695,11.2010,11.2390,11.1102,11.2226,11.1884
"[0.07, 0.93]",11.1165,11.1928,11.2490,11.0967,11.2068,11.1723
"[0.03, 0.97]",11.1113,11.1380,11.2380,11.1008,11.1717,11.1520
"[0.00, 1.00]",11.0531,11.1062,11.2338,11.0819,11.1378,11.1226
