Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",10.9112,10.8710,10.8427,10.6743,10.7767,10.8152
"[0.97, 0.03]",10.9691,10.9804,10.9205,10.7808,10.8782,10.9058
"[0.93, 0.07]",11.0475,11.0302,11.0240,10.8533,10.9916,10.9893
"[0.90, 0.10]",11.1232,11.0916,11.0885,10.9802,11.0622,11.0691
"[0.86, 0.14]",11.1817,11.1763,11.1835,11.0980,11.1586,11.1596
"[0.83, 0.17]",11.2397,11.2393,11.2655,11.2118,11.2416,11.2396
"[0.79, 0.21]",11.2965,11.3124,11.3223,11.2736,11.3106,11.3031
"[0.76, 0.24]",11.3632,11.3706,11.3783,11.3638,11.3656,11.3683
"[0.72, 0.28]",11.4161,11.4302,11.4189,11.4219,11.4192,11.4213
"[0.69, 0.31]",11.4676,11.4691,11.4683,11.4582,11.4577,11.4642
"[0.66, 0.34]",11.5058,11.5097,11.4953,11.5004,11.5048,11.5032
"[0.62, 0.38]",11.5417,11.5326,11.5318,11.5341,11.5418,11.5364
"[0.59, 0.41]",11.4839,11.5557,11.5677,11.5556,11.5325,11.5391
"[0.55, 0.45]",11.5621,11.5496,11.5680,11.5618,11.5399,11.5563
"[0.52, 0.48]",11.4960,11.5637,11.5339,11.5402,11.5453,11.5358
"[0.48, 0.52]",11.4705,11.5384,11.5652,11.5532,11.5078,11.5270
"[0.45, 0.55]",11.5121,11.5327,11.5288,11.4557,11.5066,11.5072
"[0.41, 0.59]",11.4312,11.4916,11.4434,11.5091,11.4170,11.4584
"[0.38, 0.62]",11.3959,11.4725,11.4684,11.4778,11.4695,11.4568
"[0.34, 0.66]",11.4461,11.4289,11.4471,11.4404,11.4456,11.4416
"[0.31, 0.69]",11.3980,11.3916,11.3992,11.3934,11.3818,11.3928
"[0.28, 0.72]",11.3330,11.3450,11.3559,11.3517,11.3273,11.3426
"[0.24, 0.76]",11.2886,11.2791,11.3000,11.2925,11.2866,11.2894
"[0.21, 0.79]",11.2224,11.2010,11.1994,11.2390,11.2159,11.2155
"[0.17, 0.83]",11.1805,11.1439,11.1588,11.1933,11.1357,11.1624
"[0.14, 0.86]",11.1092,11.0765,11.1290,11.1094,11.0555,11.0959
"[0.10, 0.90]",11.0626,11.0183,11.0161,11.0667,11.0090,11.0346
"[0.07, 0.93]",11.0301,10.8681,11.0186,10.9897,11.0192,10.9851
"[0.03, 0.97]",10.8462,10.8783,10.8471,10.9455,10.9804,10.8995
"[0.00, 1.00]",10.7930,10.8619,10.7536,10.8879,10.9195,10.8431
