Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",10.5865,9.5887,10.5955,8.5687,9.2330,9.7145
"[0.97, 0.03]",11.1863,9.8330,10.6890,8.6842,10.4513,10.1688
"[0.93, 0.07]",11.4352,11.3715,11.3741,8.8082,11.2981,10.8574
"[0.90, 0.10]",10.5831,11.3732,11.7579,11.3346,10.9755,11.2049
"[0.86, 0.14]",8.7543,11.7126,11.8033,10.7579,11.7069,10.9470
"[0.83, 0.17]",8.6876,11.6119,11.8317,11.7604,11.8247,11.1433
"[0.79, 0.21]",11.4421,11.8074,11.8642,11.8776,11.8632,11.7709
"[0.76, 0.24]",11.8853,11.8699,11.4804,11.5359,11.5513,11.6646
"[0.72, 0.28]",11.9371,11.9360,11.3320,11.9609,11.9797,11.8291
"[0.69, 0.31]",11.9977,11.9117,11.9675,11.9583,12.0394,11.9749
"[0.66, 0.34]",12.0414,12.0488,12.0150,12.0526,12.0739,12.0463
"[0.62, 0.38]",12.0736,12.0778,12.0802,12.0782,12.1037,12.0827
"[0.59, 0.41]",12.1174,12.1108,12.1152,12.1136,12.1263,12.1167
"[0.55, 0.45]",12.1409,12.1311,12.1325,12.1369,12.1411,12.1365
"[0.52, 0.48]",12.1604,12.1569,12.1552,12.1500,12.1588,12.1563
"[0.48, 0.52]",12.1446,12.1418,12.1385,12.1570,12.1327,12.1429
"[0.45, 0.55]",12.0890,12.0866,12.0855,12.1168,12.0895,12.0935
"[0.41, 0.59]",12.0278,12.0033,12.0055,12.0204,11.9937,12.0101
"[0.38, 0.62]",11.9112,11.9013,11.9100,11.9210,11.8930,11.9073
"[0.34, 0.66]",11.7825,11.7697,11.7922,11.8071,11.7802,11.7864
"[0.31, 0.69]",11.6831,11.6789,11.6266,11.6921,11.6968,11.6755
"[0.28, 0.72]",11.5514,11.5645,11.5291,11.5892,11.5796,11.5628
"[0.24, 0.76]",11.4490,11.4699,11.4592,11.4640,11.4830,11.4650
"[0.21, 0.79]",11.3510,11.3784,11.3260,11.3599,11.3742,11.3579
"[0.17, 0.83]",11.2287,11.2112,11.2125,11.2216,11.2200,11.2188
"[0.14, 0.86]",11.2059,11.2033,11.2035,11.2066,11.2048,11.2048
"[0.10, 0.90]",11.2027,11.2007,11.2009,11.2031,11.2016,11.2018
"[0.07, 0.93]",11.2009,11.1992,11.1994,11.2017,11.1997,11.2002
"[0.03, 0.97]",11.1999,11.1981,11.1983,11.2008,11.1982,11.1990
"[0.00, 1.00]",11.1991,11.1973,11.1974,11.1998,11.1971,11.1981
