Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",11.9662,11.9911,11.9729,11.6842,11.9879,11.9205
"[0.97, 0.03]",11.9622,11.9788,11.9783,11.9853,11.9871,11.9784
"[0.93, 0.07]",11.9652,11.9847,11.3352,11.8810,11.9912,11.8315
"[0.90, 0.10]",11.7743,11.9789,11.9814,11.5698,11.9880,11.8585
"[0.86, 0.14]",11.9727,11.9881,11.9747,11.9770,11.9803,11.9786
"[0.83, 0.17]",11.8422,11.9888,11.8395,11.9811,11.7721,11.8848
"[0.79, 0.21]",11.9672,11.9893,11.5320,11.9830,11.9815,11.8906
"[0.76, 0.24]",11.9821,11.9855,11.9758,11.8503,11.9841,11.9555
"[0.72, 0.28]",11.9824,11.9881,11.9825,11.9823,11.8510,11.9573
"[0.69, 0.31]",11.9826,11.9872,11.8190,11.9879,11.9942,11.9542
"[0.66, 0.34]",11.9890,11.9926,11.9769,11.9916,11.9859,11.9872
"[0.62, 0.38]",12.0005,12.0000,11.9913,11.9942,11.9990,11.9970
"[0.59, 0.41]",12.0552,12.0480,12.0433,12.0520,12.0529,12.0503
"[0.55, 0.45]",12.1121,12.1190,12.1141,12.1278,12.1121,12.1170
"[0.52, 0.48]",12.1509,12.1741,12.1715,12.1783,12.1708,12.1691
"[0.48, 0.52]",12.1216,12.1198,12.1188,12.1285,12.1313,12.1240
"[0.45, 0.55]",12.0195,12.0382,12.0175,12.0229,12.0348,12.0266
"[0.41, 0.59]",11.8826,11.8994,11.8784,11.8751,11.8804,11.8831
"[0.38, 0.62]",11.7208,11.7309,11.7041,11.6963,11.6981,11.7100
"[0.34, 0.66]",11.5513,11.5565,11.1907,11.4963,11.4964,11.4582
"[0.31, 0.69]",11.3811,11.3076,11.1915,11.3678,11.3297,11.3155
"[0.28, 0.72]",11.2380,11.2268,11.1917,11.2021,11.1939,11.2105
"[0.24, 0.76]",11.1920,11.1908,11.1917,11.1917,11.1921,11.1916
"[0.21, 0.79]",11.1919,11.1907,11.1918,11.1916,11.1920,11.1916
"[0.17, 0.83]",11.1918,11.1907,11.1919,11.1917,11.1920,11.1916
"[0.14, 0.86]",11.1918,11.1906,11.1918,11.1917,11.1920,11.1916
"[0.10, 0.90]",11.1918,11.1906,11.1919,11.1918,11.1920,11.1916
"[0.07, 0.93]",11.1918,11.1907,11.1919,11.1918,11.1920,11.1916
"[0.03, 0.97]",11.1918,11.1907,11.1919,11.1918,11.1920,11.1916
"[0.00, 1.00]",11.1918,11.1907,11.1918,11.1918,11.1920,11.1916
