Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",10.9630,10.5659,10.2026,9.8057,9.5812,10.2237
"[0.97, 0.03]",10.4458,10.2575,11.0133,9.6887,11.5428,10.5896
"[0.93, 0.07]",10.6494,10.8538,9.5843,9.0085,11.4915,10.3175
"[0.90, 0.10]",11.1449,11.0402,11.2305,10.8490,11.4676,11.1464
"[0.86, 0.14]",11.0327,11.0499,10.9239,11.1447,11.6486,11.1600
"[0.83, 0.17]",10.9463,11.7242,11.7031,11.6662,11.4811,11.5042
"[0.79, 0.21]",11.4777,11.7622,11.6725,11.7451,11.3224,11.5960
"[0.76, 0.24]",11.8032,11.2090,11.7889,11.6927,11.7358,11.6459
"[0.72, 0.28]",11.8309,11.8517,11.7617,11.8691,11.9023,11.8431
"[0.69, 0.31]",11.9173,11.6887,11.9219,11.9203,11.6803,11.8257
"[0.66, 0.34]",11.9892,11.9889,11.9958,11.9844,12.0115,11.9940
"[0.62, 0.38]",12.0514,12.0473,12.0611,12.0497,12.0710,12.0561
"[0.59, 0.41]",12.1242,12.1229,12.1403,12.1183,12.1372,12.1286
"[0.55, 0.45]",12.2215,12.2058,12.2158,12.2152,12.2161,12.2149
"[0.52, 0.48]",12.1981,12.1904,12.1823,12.1901,12.1447,12.1811
"[0.48, 0.52]",12.1548,12.1548,12.1392,12.1352,12.1520,12.1472
"[0.45, 0.55]",12.0968,12.1089,12.0864,12.0874,12.0906,12.0940
"[0.41, 0.59]",12.0028,12.0192,11.9936,11.9934,11.9938,12.0006
"[0.38, 0.62]",11.8978,11.9190,11.8901,11.9039,11.8939,11.9009
"[0.34, 0.66]",11.7970,11.8158,11.7845,11.7959,11.7815,11.7950
"[0.31, 0.69]",11.6820,11.7143,11.6621,11.6733,11.6699,11.6803
"[0.28, 0.72]",11.5846,11.5929,11.5655,11.5746,11.5769,11.5789
"[0.24, 0.76]",11.4574,11.4698,11.4569,11.4531,11.4581,11.4591
"[0.21, 0.79]",11.3456,11.3535,11.3294,11.3300,11.3358,11.3389
"[0.17, 0.83]",11.2067,11.2062,11.2033,11.2024,11.2039,11.2045
"[0.14, 0.86]",11.1986,11.1995,11.1988,11.1986,11.1995,11.1990
"[0.10, 0.90]",11.1960,11.1971,11.1970,11.1967,11.1976,11.1969
"[0.07, 0.93]",11.1947,11.1957,11.1959,11.1955,11.1966,11.1957
"[0.03, 0.97]",11.1940,11.1948,11.1951,11.1945,11.1962,11.1949
"[0.00, 1.00]",11.1932,11.1943,11.1946,11.1936,11.1949,11.1941
