Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",4.1625,6.0639,5.9189,4.2687,5.5619,5.1952
"[0.97, 0.03]",4.1610,6.1040,5.9735,6.0517,5.6557,5.5892
"[0.93, 0.07]",4.1598,6.1678,6.0441,6.0731,5.7446,5.6379
"[0.90, 0.10]",5.8945,6.8982,6.1189,6.1114,5.9379,6.1922
"[0.86, 0.14]",5.9487,7.1593,6.7501,6.1924,6.0166,6.4134
"[0.83, 0.17]",6.7731,7.4415,6.8575,6.7450,5.9967,6.7628
"[0.79, 0.21]",6.9004,6.1519,6.9788,6.8612,6.0377,6.5860
"[0.76, 0.24]",7.2691,6.2715,7.4392,7.2072,6.0858,6.8545
"[0.72, 0.28]",7.8956,6.4543,7.9009,6.1673,6.1334,6.9103
"[0.69, 0.31]",8.8681,6.5226,8.1390,7.8114,8.1648,7.9012
"[0.66, 0.34]",7.7640,6.5367,8.4683,7.7016,8.7170,7.8375
"[0.62, 0.38]",6.0643,6.5537,9.6951,6.1947,9.7254,7.6467
"[0.59, 0.41]",6.3446,6.5779,8.5214,6.3462,9.8828,7.5346
"[0.55, 0.45]",6.4796,6.5789,10.2912,6.4206,6.2048,7.1950
"[0.52, 0.48]",6.5343,6.5797,10.7282,9.9957,6.8225,8.1321
"[0.48, 0.52]",6.5512,10.3720,11.2027,11.2310,11.4697,10.1653
"[0.45, 0.55]",6.5863,10.0883,10.8412,11.5121,11.4810,10.1018
"[0.41, 0.59]",6.6329,10.1579,11.5278,11.5413,11.5367,10.2793
"[0.38, 0.62]",6.6397,11.5226,11.1457,11.5487,11.5082,10.4730
"[0.34, 0.66]",11.3922,11.5021,10.9100,11.5231,10.0431,11.0741
"[0.31, 0.69]",11.3658,11.3880,9.8992,11.4309,8.7934,10.5755
"[0.28, 0.72]",11.3517,10.8927,9.7441,11.1940,9.3905,10.5146
"[0.24, 0.76]",10.4234,10.7994,8.7562,10.3932,10.2630,10.1270
"[0.21, 0.79]",8.9754,10.7248,8.1134,9.4999,11.0169,9.6661
"[0.17, 0.83]",8.9015,9.1982,8.0948,9.0379,10.5699,9.1605
"[0.14, 0.86]",10.2872,10.4272,7.9735,9.3483,9.5185,9.5110
"[0.10, 0.90]",10.3431,10.4151,7.7261,9.2551,9.2307,9.3940
"[0.07, 0.93]",10.4244,10.4153,7.5300,9.7677,10.0358,9.6346
"[0.03, 0.97]",9.0760,10.4161,7.3987,9.3279,9.1609,9.0759
"[0.00, 1.00]",9.0514,10.4193,7.2976,9.0653,9.0466,8.9760
