Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",5.8773,8.2549,8.7665,10.5753,7.5344,8.2017
"[0.97, 0.03]",5.9335,8.3315,8.8507,10.0793,7.7225,8.1835
"[0.93, 0.07]",6.3043,8.0115,9.0187,8.7086,9.0750,8.2236
"[0.90, 0.10]",6.3696,10.5547,8.8601,8.4623,8.1641,8.4822
"[0.86, 0.14]",6.4100,10.4631,8.8438,8.4715,9.0948,8.6567
"[0.83, 0.17]",6.4613,10.9841,8.6827,8.4900,8.5201,8.6276
"[0.79, 0.21]",6.2747,8.9062,10.9576,8.4471,9.1915,8.7554
"[0.76, 0.24]",6.2862,9.5746,10.8848,8.6194,9.2207,8.9171
"[0.72, 0.28]",6.3508,10.6166,10.4453,9.3955,8.6647,9.0946
"[0.69, 0.31]",6.8330,10.2663,10.9021,9.6294,9.2274,9.3716
"[0.66, 0.34]",6.9421,8.7286,10.8880,10.5291,10.7560,9.5687
"[0.62, 0.38]",6.9167,8.6504,10.8046,9.6331,10.0765,9.2162
"[0.59, 0.41]",6.7716,8.9897,9.9966,7.4116,9.6824,8.5704
"[0.55, 0.45]",6.4000,8.7667,9.9671,10.9708,9.8532,9.1916
"[0.52, 0.48]",6.4411,10.6869,9.5985,11.0214,8.9661,9.3428
"[0.48, 0.52]",6.6180,8.3520,10.5446,10.7413,8.9177,9.0347
"[0.45, 0.55]",10.4392,8.9128,10.1666,10.7529,8.9572,9.8457
"[0.41, 0.59]",9.8250,8.9792,10.6105,10.9287,8.7818,9.8250
"[0.38, 0.62]",9.3065,9.2567,7.7241,11.0290,9.6769,9.3987
"[0.34, 0.66]",7.2662,8.8983,8.0767,10.9064,6.1401,8.2575
"[0.31, 0.69]",7.1317,8.7561,7.7974,10.7202,7.8051,8.4421
"[0.28, 0.72]",7.4865,8.5410,7.0528,10.6125,6.6206,8.0627
"[0.24, 0.76]",7.8516,8.4027,6.4052,9.7855,7.2512,7.9392
"[0.21, 0.79]",7.6945,8.7657,8.5763,9.3737,6.7346,8.2290
"[0.17, 0.83]",7.3026,8.8789,7.4096,9.6463,6.2552,7.8985
"[0.14, 0.86]",6.9011,9.5162,7.5926,10.1436,6.1379,8.0583
"[0.10, 0.90]",6.4940,8.7217,8.5381,9.6686,6.0403,7.8926
"[0.07, 0.93]",6.4942,8.8717,7.4947,10.1363,6.2583,7.8510
"[0.03, 0.97]",8.0852,8.7832,7.7006,9.9254,6.2110,8.1411
"[0.00, 1.00]",9.6444,8.7633,8.0701,9.8494,6.7095,8.6074
