Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",3.1482,8.0056,9.0570,3.2140,5.9838,5.8817
"[0.97, 0.03]",3.1404,8.2326,9.1114,3.2145,6.0272,5.9452
"[0.93, 0.07]",3.0860,8.8502,9.0553,3.2144,5.5483,5.9508
"[0.90, 0.10]",3.0778,9.2278,8.9974,3.2158,5.5033,6.0044
"[0.86, 0.14]",3.0212,9.2245,9.0576,3.2167,5.5565,6.0153
"[0.83, 0.17]",3.0146,9.1920,8.9924,3.2173,6.0066,6.0846
"[0.79, 0.21]",3.0122,9.2017,8.9712,3.2189,3.0697,5.4947
"[0.76, 0.24]",3.0184,9.1484,8.9704,3.2204,3.0747,5.4865
"[0.72, 0.28]",3.0365,8.8386,9.1154,3.2700,3.0919,5.4705
"[0.69, 0.31]",5.7053,9.1728,9.1906,3.3193,3.4129,6.1602
"[0.66, 0.34]",7.0274,9.3196,9.3717,3.3807,3.2955,6.4790
"[0.62, 0.38]",3.3414,9.1859,9.4029,7.9241,3.3124,6.6334
"[0.59, 0.41]",3.3053,8.8433,9.5462,10.8815,3.3150,7.1783
"[0.55, 0.45]",3.3251,8.0239,10.5691,10.7676,8.0008,8.1373
"[0.52, 0.48]",7.7345,9.6066,9.1422,10.9420,9.5722,9.3995
"[0.48, 0.52]",10.3258,11.3188,9.6660,9.4970,6.7406,9.5096
"[0.45, 0.55]",11.3280,11.1032,11.0541,11.1879,9.6420,10.8630
"[0.41, 0.59]",11.1031,11.0679,11.1587,10.7590,11.1571,11.0492
"[0.38, 0.62]",11.1553,11.0557,11.1754,10.6803,11.0432,11.0220
"[0.34, 0.66]",11.0517,11.0472,11.0056,11.1397,10.6700,10.9829
"[0.31, 0.69]",10.9946,10.7951,4.6729,6.9594,11.1321,8.9108
"[0.28, 0.72]",10.9037,8.5142,4.4795,4.4784,10.9062,7.8564
"[0.24, 0.76]",11.0460,7.1869,5.6378,4.6165,8.5952,7.4165
"[0.21, 0.79]",11.1165,8.5047,5.6044,4.7208,6.7907,7.3474
"[0.17, 0.83]",11.0793,7.3163,5.8875,4.8384,5.5069,6.9257
"[0.14, 0.86]",11.1361,7.6074,6.0353,5.0306,5.6614,7.0942
"[0.10, 0.90]",11.1449,6.8730,6.1165,6.6087,4.7003,7.0887
"[0.07, 0.93]",10.1232,7.6528,6.1488,6.9927,4.6927,7.1221
"[0.03, 0.97]",9.8233,7.4629,6.1013,6.4460,4.7332,6.9133
"[0.00, 1.00]",9.7673,7.4516,6.0622,5.8605,4.7946,6.7872
