Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",11.4176,11.4507,11.3892,11.4201,11.4205,11.4196
"[0.97, 0.03]",11.4527,11.4917,11.4346,11.4645,11.4743,11.4636
"[0.93, 0.07]",11.4946,11.5279,11.4852,11.5073,11.5205,11.5071
"[0.90, 0.10]",11.5320,11.5633,11.5246,11.5493,11.5639,11.5466
"[0.86, 0.14]",11.5695,11.5921,11.5646,11.5857,11.6041,11.5832
"[0.83, 0.17]",11.6037,11.6175,11.6039,11.6188,11.6414,11.6171
"[0.79, 0.21]",11.6363,11.6419,11.6365,11.6448,11.6684,11.6456
"[0.76, 0.24]",11.6648,11.6633,11.6646,11.6724,11.6898,11.6710
"[0.72, 0.28]",11.6925,11.6908,11.6900,11.6959,11.7097,11.6958
"[0.69, 0.31]",11.7180,11.7134,11.7139,11.7176,11.7299,11.7186
"[0.66, 0.34]",11.7450,11.7410,11.7384,11.7377,11.7541,11.7432
"[0.62, 0.38]",11.7696,11.7683,11.7645,11.7607,11.7765,11.7679
"[0.59, 0.41]",11.7909,11.7907,11.7834,11.7806,11.7944,11.7880
"[0.55, 0.45]",11.8056,11.8055,11.7997,11.7997,11.8081,11.8037
"[0.52, 0.48]",11.8143,11.8151,11.8093,11.8129,11.8144,11.8132
"[0.48, 0.52]",11.8187,11.8194,11.8177,11.8179,11.8216,11.8191
"[0.45, 0.55]",11.8249,11.8309,11.8187,11.8313,11.8225,11.8257
"[0.41, 0.59]",11.8312,11.8299,11.8233,11.8265,11.8212,11.8264
"[0.38, 0.62]",11.8277,11.8208,11.8211,11.8253,11.8193,11.8228
"[0.34, 0.66]",11.8276,11.8188,11.8199,11.8236,11.8160,11.8212
"[0.31, 0.69]",11.8245,11.8157,11.8178,11.8226,11.8137,11.8189
"[0.28, 0.72]",11.8214,11.8150,11.8189,11.8207,11.8118,11.8176
"[0.24, 0.76]",11.8188,11.8172,11.8238,11.8194,11.8110,11.8180
"[0.21, 0.79]",11.8150,11.8114,11.8189,11.8132,11.8156,11.8148
"[0.17, 0.83]",11.8123,11.8114,11.8113,11.8109,11.8125,11.8117
"[0.14, 0.86]",11.8106,11.8109,11.8126,11.8116,11.8133,11.8118
"[0.10, 0.90]",11.8110,11.8106,11.8127,11.8131,11.8134,11.8122
"[0.07, 0.93]",11.8112,11.8103,11.8126,11.8137,11.8133,11.8122
"[0.03, 0.97]",11.8111,11.8105,11.8123,11.8124,11.8132,11.8119
"[0.00, 1.00]",11.8115,11.8105,11.8119,11.8117,11.8131,11.8117
