Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",9.7234,9.7114,9.5548,9.6437,9.6970,9.6661
"[0.97, 0.03]",9.8848,9.8820,9.8127,9.8586,9.8826,9.8641
"[0.93, 0.07]",10.0496,10.0635,9.9912,10.0263,10.0456,10.0352
"[0.90, 0.10]",10.3421,10.3426,10.3188,10.3163,10.3270,10.3293
"[0.86, 0.14]",10.6138,10.6115,10.6083,10.6026,10.6117,10.6096
"[0.83, 0.17]",10.8575,10.8357,10.8492,10.8411,10.8526,10.8472
"[0.79, 0.21]",11.0327,11.0264,11.0178,11.0111,11.0113,11.0199
"[0.76, 0.24]",11.1886,11.2068,11.1979,11.1837,11.1956,11.1945
"[0.72, 0.28]",11.3149,11.3270,11.3104,11.3083,11.3240,11.3169
"[0.69, 0.31]",11.4376,11.4400,11.4130,11.4220,11.4318,11.4289
"[0.66, 0.34]",11.5281,11.5285,11.5075,11.5217,11.5222,11.5216
"[0.62, 0.38]",11.5941,11.5920,11.5833,11.5829,11.5908,11.5886
"[0.59, 0.41]",11.6393,11.6395,11.6356,11.6325,11.6379,11.6370
"[0.55, 0.45]",11.6593,11.6579,11.6569,11.6567,11.6625,11.6587
"[0.52, 0.48]",11.6766,11.6772,11.6722,11.6766,11.6768,11.6759
"[0.48, 0.52]",11.6817,11.6804,11.6761,11.6801,11.6812,11.6799
"[0.45, 0.55]",11.6719,11.6743,11.6726,11.6732,11.6732,11.6730
"[0.41, 0.59]",11.6606,11.6901,11.6829,11.6548,11.6720,11.6721
"[0.38, 0.62]",11.6655,11.6675,11.6739,11.6688,11.6726,11.6697
"[0.34, 0.66]",11.6643,11.6606,11.6523,11.6534,11.6602,11.6582
"[0.31, 0.69]",11.6393,11.6461,11.6448,11.6375,11.6397,11.6415
"[0.28, 0.72]",11.6230,11.6292,11.6420,11.6475,11.6405,11.6364
"[0.24, 0.76]",11.6303,11.6344,11.6007,11.6238,11.6340,11.6246
"[0.21, 0.79]",11.6262,11.6236,11.6152,11.6106,11.6266,11.6204
"[0.17, 0.83]",11.6236,11.6144,11.6157,11.6047,11.6145,11.6146
"[0.14, 0.86]",11.6226,11.6021,11.5958,11.5766,11.6281,11.6051
"[0.10, 0.90]",11.6201,11.5748,11.5769,11.5781,11.6231,11.5946
"[0.07, 0.93]",11.5844,11.5777,11.5787,11.5800,11.6241,11.5890
"[0.03, 0.97]",11.5839,11.5818,11.5800,11.5815,11.6238,11.5902
"[0.00, 1.00]",11.5735,11.5796,11.5764,11.5813,11.6224,11.5866
