Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",8.7705,10.9833,8.0619,10.0480,7.6725,9.1072
"[0.97, 0.03]",10.9789,10.9979,9.3746,10.2074,7.9223,9.8962
"[0.93, 0.07]",11.0457,11.0196,8.9350,10.7389,11.0122,10.5502
"[0.90, 0.10]",10.6638,11.0613,8.7932,10.9957,11.0423,10.5113
"[0.86, 0.14]",10.2402,11.0899,11.0676,10.7257,11.0780,10.8403
"[0.83, 0.17]",10.8462,11.0609,11.0536,10.7648,10.9534,10.9358
"[0.79, 0.21]",11.1455,11.1656,11.1865,11.1125,11.0702,11.1361
"[0.76, 0.24]",11.2544,11.2426,11.2284,11.0780,11.2415,11.2090
"[0.72, 0.28]",11.3117,11.2972,11.2742,11.2512,11.3066,11.2882
"[0.69, 0.31]",11.3598,11.3547,11.3590,11.3769,11.3483,11.3597
"[0.66, 0.34]",11.4192,11.4271,11.4183,11.4386,11.4079,11.4222
"[0.62, 0.38]",11.5300,11.5331,11.5507,11.5474,11.5299,11.5382
"[0.59, 0.41]",11.5757,11.5795,11.5997,11.5930,11.5771,11.5850
"[0.55, 0.45]",11.6437,11.6347,11.6335,11.5697,11.6250,11.6213
"[0.52, 0.48]",11.7107,11.7058,11.6993,11.7120,11.7003,11.7056
"[0.48, 0.52]",11.6991,11.6932,11.6974,11.6879,11.6976,11.6950
"[0.45, 0.55]",11.6637,11.5881,10.9756,11.2343,11.6653,11.4254
"[0.41, 0.59]",11.5676,11.5613,11.0684,11.3408,10.2915,11.1659
"[0.38, 0.62]",10.1730,10.6863,10.1310,11.3277,9.1802,10.2996
"[0.34, 0.66]",11.3408,11.3052,10.4551,11.3642,10.6182,11.0167
"[0.31, 0.69]",9.1056,11.2427,11.3427,10.6761,11.3434,10.7421
"[0.28, 0.72]",11.0403,11.0409,11.0234,11.0391,11.0463,11.0380
"[0.24, 0.76]",11.0052,11.0101,11.0082,11.0104,11.0131,11.0094
"[0.21, 0.79]",10.9123,10.9227,10.9263,10.9245,10.9253,10.9222
"[0.17, 0.83]",10.8176,10.8236,10.8257,10.8207,10.8256,10.8227
"[0.14, 0.86]",10.7989,9.9144,10.7972,10.8452,10.8455,10.6402
"[0.10, 0.90]",10.0602,9.9343,10.0478,10.8053,9.8613,10.1418
"[0.07, 0.93]",10.1122,10.0278,10.3996,9.3103,10.0059,9.9712
"[0.03, 0.97]",9.7983,9.9519,10.4834,8.7699,9.9034,9.7814
"[0.00, 1.00]",8.7907,9.9100,10.4629,8.6009,9.0857,9.3700
