Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",10.2261,9.0447,8.9897,9.4731,9.5964,9.4660
"[0.97, 0.03]",9.7077,8.8866,8.9244,10.5170,10.5737,9.7219
"[0.93, 0.07]",8.9438,8.9322,8.9001,10.0672,10.3653,9.4417
"[0.90, 0.10]",8.6763,8.8857,8.9907,10.2578,9.7390,9.3099
"[0.86, 0.14]",9.1618,9.0870,9.0843,9.3097,9.7505,9.2787
"[0.83, 0.17]",9.0667,9.1545,9.1201,9.0934,9.9331,9.2736
"[0.79, 0.21]",9.1417,9.1941,9.0269,8.9040,9.9055,9.2345
"[0.76, 0.24]",8.9861,9.2815,9.1587,8.7925,9.7083,9.1854
"[0.72, 0.28]",9.0158,9.3278,9.7654,8.8777,9.6810,9.3335
"[0.69, 0.31]",9.0898,9.2819,9.1110,8.8823,9.6530,9.2036
"[0.66, 0.34]",11.2368,9.3127,9.1557,8.9370,8.9879,9.5260
"[0.62, 0.38]",10.2339,9.3477,9.1909,9.0241,9.1502,9.3894
"[0.59, 0.41]",9.8091,9.1229,9.2464,9.0982,11.1136,9.6780
"[0.55, 0.45]",9.8732,11.3058,11.2712,9.1738,11.5023,10.6253
"[0.52, 0.48]",9.9406,9.4797,10.0121,10.2937,10.1055,9.9663
"[0.48, 0.52]",10.0744,9.3433,10.2163,10.0487,11.4238,10.2213
"[0.45, 0.55]",10.2457,9.3873,10.5680,9.9474,9.7294,9.9756
"[0.41, 0.59]",10.4921,9.9140,10.5508,9.8207,9.6524,10.0860
"[0.38, 0.62]",10.8126,10.7422,10.2937,9.9024,10.0723,10.3646
"[0.34, 0.66]",10.8720,9.2565,10.4206,10.1513,10.2289,10.1859
"[0.31, 0.69]",9.3779,8.9296,10.5499,10.7587,9.7208,9.8674
"[0.28, 0.72]",8.9591,8.7360,10.7168,9.1164,9.2040,9.3465
"[0.24, 0.76]",8.7472,8.5887,10.7276,8.7460,8.8710,9.1361
"[0.21, 0.79]",8.6381,8.5016,9.6429,8.5459,8.7271,8.8111
"[0.17, 0.83]",8.5793,8.4342,9.1399,8.4311,8.7645,8.6698
"[0.14, 0.86]",8.5130,8.3637,8.9580,8.3638,8.9213,8.6240
"[0.10, 0.90]",8.4351,8.3388,8.8504,8.3130,9.1380,8.6151
"[0.07, 0.93]",8.3515,8.3172,8.8146,8.2826,9.3504,8.6233
"[0.03, 0.97]",8.2835,8.3007,8.8190,8.2485,9.5877,8.6479
"[0.00, 1.00]",8.2578,8.3101,8.9010,8.2320,9.9971,8.7396
