Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",7.5712,7.5703,7.4424,7.9661,7.8667,7.6833
"[0.97, 0.03]",7.6782,7.8565,7.6280,8.1303,8.0454,7.8677
"[0.93, 0.07]",7.9206,8.3483,7.9706,8.4361,8.2570,8.1865
"[0.90, 0.10]",8.1768,10.0378,8.4481,10.0615,8.0723,8.9593
"[0.86, 0.14]",10.4846,10.4175,9.2054,10.4587,8.2163,9.7565
"[0.83, 0.17]",10.0020,9.9501,9.3973,10.6997,10.0742,10.0247
"[0.79, 0.21]",10.1275,10.8309,11.0016,10.4433,10.4961,10.5799
"[0.76, 0.24]",11.1036,10.7754,11.1323,10.4856,10.5326,10.8059
"[0.72, 0.28]",11.2655,10.8055,11.2521,11.1391,11.2579,11.1440
"[0.69, 0.31]",11.3486,11.1507,11.3545,11.3446,11.3322,11.3061
"[0.66, 0.34]",11.4154,10.6707,11.2912,10.6183,11.2997,11.0591
"[0.62, 0.38]",10.4602,11.1633,11.5299,10.8194,11.5126,11.0971
"[0.59, 0.41]",11.5866,11.5630,11.6046,11.5893,11.5461,11.5779
"[0.55, 0.45]",11.6110,11.6478,11.6422,11.6575,11.6071,11.6331
"[0.52, 0.48]",11.6575,11.6655,11.4335,11.6591,11.3676,11.5567
"[0.48, 0.52]",11.2118,11.6720,11.6588,11.6606,11.5788,11.5564
"[0.45, 0.55]",10.9013,11.0741,10.9949,11.5541,11.5434,11.2136
"[0.41, 0.59]",11.5444,11.1980,11.5280,11.5615,11.0694,11.3803
"[0.38, 0.62]",11.0407,9.4417,11.5048,9.2208,11.3232,10.5062
"[0.34, 0.66]",10.7418,11.2005,11.2790,9.6936,10.1192,10.6068
"[0.31, 0.69]",11.2806,10.4314,11.2621,11.2811,10.8680,11.0246
"[0.28, 0.72]",11.0142,11.0111,11.0153,11.0127,11.0108,11.0128
"[0.24, 0.76]",10.9861,10.9807,10.9879,10.9808,10.9809,10.9833
"[0.21, 0.79]",10.8845,10.8910,10.8791,10.8831,10.8841,10.8844
"[0.17, 0.83]",10.7846,10.7802,10.7788,10.7818,10.7779,10.7807
"[0.14, 0.86]",10.7595,10.2472,10.7524,9.6527,9.6338,10.2091
"[0.10, 0.90]",10.7544,9.6531,10.7250,9.3118,9.6817,10.0252
"[0.07, 0.93]",10.8365,9.6232,9.7480,9.2409,9.6500,9.8197
"[0.03, 0.97]",10.5636,9.6418,9.7119,9.2340,9.5971,9.7497
"[0.00, 1.00]",10.5498,9.6164,9.7719,9.2339,9.5290,9.7402
