Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",11.9558,11.9547,11.9733,11.9535,11.9533,11.9581
"[0.97, 0.03]",11.9495,11.9628,11.7984,11.9624,11.9520,11.9250
"[0.93, 0.07]",11.9501,11.9594,11.9709,11.9550,11.9561,11.9583
"[0.90, 0.10]",11.9637,11.9619,11.9058,11.9537,11.9547,11.9480
"[0.86, 0.14]",11.9614,11.9569,11.9713,11.9575,11.9512,11.9596
"[0.83, 0.17]",11.9687,11.9617,11.9325,11.9561,11.9538,11.9546
"[0.79, 0.21]",11.9657,11.9578,11.9715,11.9503,11.9615,11.9614
"[0.76, 0.24]",11.9552,11.9666,11.9666,11.9476,11.9569,11.9586
"[0.72, 0.28]",11.9564,11.9591,11.9607,11.9521,11.9567,11.9570
"[0.69, 0.31]",11.9486,11.9517,11.9574,11.9491,11.9505,11.9515
"[0.66, 0.34]",11.9506,11.9471,11.9483,11.9536,11.9542,11.9508
"[0.62, 0.38]",11.9603,11.9475,11.9646,11.9537,11.9486,11.9550
"[0.59, 0.41]",12.0768,12.0219,12.1220,12.0435,12.0336,12.0595
"[0.55, 0.45]",12.1308,12.0943,12.1097,12.1035,12.1062,12.1089
"[0.52, 0.48]",12.1245,12.1143,12.1052,12.1082,12.1021,12.1108
"[0.48, 0.52]",12.0375,12.0992,12.0727,12.0518,12.0660,12.0654
"[0.45, 0.55]",11.7705,12.0155,11.9152,11.8393,11.9423,11.8965
"[0.41, 0.59]",11.5877,11.8271,11.6153,11.6123,11.7062,11.6697
"[0.38, 0.62]",11.4762,11.5901,11.4777,11.3996,11.4714,11.4830
"[0.34, 0.66]",11.3771,11.4143,11.3814,11.2546,11.3933,11.3641
"[0.31, 0.69]",11.3001,11.2924,11.2897,11.1369,11.3107,11.2660
"[0.28, 0.72]",11.1862,11.1629,11.1813,10.8780,11.1882,11.1193
"[0.24, 0.76]",11.0968,11.0758,11.0881,10.7267,10.9937,10.9962
"[0.21, 0.79]",11.0290,11.0344,11.0254,10.7225,10.8333,10.9289
"[0.17, 0.83]",10.8401,10.9997,10.9797,10.7222,10.7469,10.8577
"[0.14, 0.86]",10.7323,10.9382,10.9071,10.7221,10.7260,10.8051
"[0.10, 0.90]",10.7254,10.8908,10.8609,10.7222,10.7236,10.7846
"[0.07, 0.93]",10.7242,10.8327,10.7339,10.7220,10.7235,10.7473
"[0.03, 0.97]",10.7236,10.7418,10.7310,10.7218,10.7233,10.7283
"[0.00, 1.00]",10.7233,10.7345,10.7294,10.7216,10.7230,10.7264
