Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",3.0318,3.1322,3.1657,2.9816,3.2244,3.1071
"[0.97, 0.03]",3.0262,3.1256,3.2603,2.9777,3.2190,3.1218
"[0.93, 0.07]",3.0229,3.4453,3.2552,2.9735,3.2667,3.1927
"[0.90, 0.10]",3.0221,3.4725,3.2941,2.9719,3.2609,3.2043
"[0.86, 0.14]",3.0771,5.1830,3.2954,3.0262,3.3050,3.5773
"[0.83, 0.17]",3.1813,6.9794,3.3385,3.0779,3.2992,3.9753
"[0.79, 0.21]",3.2816,7.1159,3.3805,3.1770,3.3421,4.0594
"[0.76, 0.24]",3.3308,7.2099,3.4186,3.1760,3.4271,4.1125
"[0.72, 0.28]",3.4200,7.3375,6.6668,3.2228,6.6316,5.4557
"[0.69, 0.31]",7.0412,7.4439,6.9648,3.2685,6.9956,6.3428
"[0.66, 0.34]",7.2404,7.5253,7.2437,3.3132,7.2361,6.5117
"[0.62, 0.38]",7.3800,7.6248,7.4422,8.4095,7.4865,7.6686
"[0.59, 0.41]",7.5113,7.7680,7.6013,9.3437,7.6473,7.9743
"[0.55, 0.45]",7.6484,7.9591,7.7357,10.5298,7.8446,8.3435
"[0.52, 0.48]",7.7256,10.8403,8.9211,10.7244,8.7874,9.3998
"[0.48, 0.52]",10.4403,11.2444,11.2878,10.0965,11.2599,10.8658
"[0.45, 0.55]",11.2120,11.2002,11.2918,11.3172,11.3074,11.2657
"[0.41, 0.59]",11.3173,11.2827,11.2864,11.2892,11.2784,11.2908
"[0.38, 0.62]",11.1304,11.1969,11.2259,11.1556,11.2391,11.1896
"[0.34, 0.66]",11.0642,11.1372,11.1583,11.1192,10.9404,11.0839
"[0.31, 0.69]",10.9265,11.0474,11.1103,10.7974,10.5762,10.8915
"[0.28, 0.72]",10.8712,10.5450,10.9700,9.8660,9.8750,10.4254
"[0.24, 0.76]",10.8299,10.4576,10.9932,9.8063,9.5191,10.3212
"[0.21, 0.79]",10.5702,10.1623,10.7280,9.5923,9.2139,10.0533
"[0.17, 0.83]",9.9894,9.0852,9.4271,9.2048,8.9440,9.3301
"[0.14, 0.86]",9.8216,9.6338,9.1307,7.8758,8.8450,9.0614
"[0.10, 0.90]",9.6984,7.7269,9.0169,6.2771,8.8055,8.3050
"[0.07, 0.93]",9.1488,7.1554,9.1960,6.2313,8.6075,8.0678
"[0.03, 0.97]",8.4801,6.7155,9.5867,6.2995,8.6236,7.9411
"[0.00, 1.00]",8.3315,6.5676,8.6923,6.1564,8.8319,7.7159
