Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",11.4249,11.4654,11.4834,11.4473,11.4462,11.4534
"[0.97, 0.03]",11.4589,11.4905,11.5097,11.4762,11.4767,11.4824
"[0.93, 0.07]",11.4935,11.5176,11.5363,11.5052,11.5073,11.5120
"[0.90, 0.10]",11.5277,11.5473,11.5624,11.5346,11.5380,11.5420
"[0.86, 0.14]",11.5596,11.5766,11.5875,11.5656,11.5693,11.5717
"[0.83, 0.17]",11.5933,11.6078,11.6139,11.5989,11.6038,11.6035
"[0.79, 0.21]",11.6235,11.6362,11.6435,11.6297,11.6331,11.6332
"[0.76, 0.24]",11.6495,11.6614,11.6706,11.6593,11.6594,11.6600
"[0.72, 0.28]",11.6761,11.6847,11.6949,11.6840,11.6839,11.6847
"[0.69, 0.31]",11.7006,11.7056,11.7190,11.7075,11.7100,11.7085
"[0.66, 0.34]",11.7289,11.7298,11.7434,11.7335,11.7333,11.7338
"[0.62, 0.38]",11.7548,11.7517,11.7652,11.7569,11.7573,11.7572
"[0.59, 0.41]",11.7762,11.7751,11.7852,11.7796,11.7787,11.7790
"[0.55, 0.45]",11.7933,11.7925,11.7989,11.7947,11.7955,11.7950
"[0.52, 0.48]",11.8055,11.8066,11.8116,11.8078,11.8072,11.8077
"[0.48, 0.52]",11.8147,11.8147,11.8184,11.8147,11.8149,11.8155
"[0.45, 0.55]",11.8182,11.8195,11.8216,11.8203,11.8195,11.8198
"[0.41, 0.59]",11.8304,11.8239,11.8222,11.8246,11.8237,11.8249
"[0.38, 0.62]",11.8294,11.8222,11.8221,11.8309,11.8279,11.8265
"[0.34, 0.66]",11.8270,11.8215,11.8180,11.8270,11.8279,11.8243
"[0.31, 0.69]",11.8256,11.8162,11.8162,11.8237,11.8238,11.8211
"[0.28, 0.72]",11.8230,11.8242,11.8231,11.8210,11.8198,11.8222
"[0.24, 0.76]",11.8129,11.8161,11.8192,11.8145,11.8139,11.8153
"[0.21, 0.79]",11.8139,11.8145,11.8126,11.8149,11.8148,11.8141
"[0.17, 0.83]",11.8142,11.8145,11.8120,11.8152,11.8129,11.8138
"[0.14, 0.86]",11.8134,11.8133,11.8113,11.8145,11.8131,11.8131
"[0.10, 0.90]",11.8113,11.8102,11.8141,11.8126,11.8109,11.8118
"[0.07, 0.93]",11.8092,11.8103,11.8159,11.8099,11.8084,11.8107
"[0.03, 0.97]",11.8078,11.8092,11.8166,11.8079,11.8059,11.8095
"[0.00, 1.00]",11.8069,11.8079,11.8145,11.8065,11.8045,11.8081
