Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",9.7904,9.7711,9.7090,9.8171,9.7814,9.7738
"[0.97, 0.03]",9.9614,9.8951,9.9311,9.9700,9.9319,9.9379
"[0.93, 0.07]",10.1254,10.0663,10.0735,10.1077,10.0664,10.0879
"[0.90, 0.10]",10.4176,10.3393,10.3055,10.3303,10.3305,10.3446
"[0.86, 0.14]",10.6778,10.6434,10.6009,10.6386,10.6054,10.6332
"[0.83, 0.17]",10.9170,10.9184,10.9001,10.9058,10.9049,10.9092
"[0.79, 0.21]",11.0423,11.0837,11.0627,11.0693,11.0736,11.0663
"[0.76, 0.24]",11.2635,11.2161,11.2011,11.1839,11.2041,11.2137
"[0.72, 0.28]",11.3837,11.3353,11.3363,11.3283,11.3403,11.3448
"[0.69, 0.31]",11.4857,11.4372,11.4396,11.4249,11.4531,11.4481
"[0.66, 0.34]",11.5542,11.5153,11.5255,11.5108,11.5281,11.5268
"[0.62, 0.38]",11.6058,11.5820,11.5893,11.5783,11.5895,11.5890
"[0.59, 0.41]",11.6428,11.6328,11.6329,11.6236,11.6304,11.6325
"[0.55, 0.45]",11.6695,11.6629,11.6648,11.6620,11.6594,11.6637
"[0.52, 0.48]",11.6817,11.6830,11.6792,11.6728,11.6738,11.6781
"[0.48, 0.52]",11.6839,11.6785,11.6820,11.6810,11.6802,11.6811
"[0.45, 0.55]",11.6800,11.6919,11.6792,11.6829,11.6968,11.6862
"[0.41, 0.59]",11.6719,11.6814,11.6798,11.6819,11.6611,11.6752
"[0.38, 0.62]",11.6627,11.6620,11.6660,11.6607,11.6421,11.6587
"[0.34, 0.66]",11.6737,11.6499,11.6531,11.6424,11.6429,11.6524
"[0.31, 0.69]",11.6346,11.6438,11.6358,11.6394,11.6426,11.6393
"[0.28, 0.72]",11.6347,11.6391,11.6358,11.6359,11.6408,11.6373
"[0.24, 0.76]",11.6280,11.6394,11.6375,11.6353,11.6371,11.6355
"[0.21, 0.79]",11.6265,11.6201,11.6348,11.6326,11.6290,11.6286
"[0.17, 0.83]",11.6220,11.6144,11.6280,11.6239,11.6266,11.6230
"[0.14, 0.86]",11.6169,11.6120,11.6216,11.6186,11.6302,11.6199
"[0.10, 0.90]",11.5995,11.6116,11.5935,11.5858,11.6380,11.6057
"[0.07, 0.93]",11.5915,11.6122,11.5940,11.5883,11.6370,11.6046
"[0.03, 0.97]",11.5999,11.6096,11.5866,11.5838,11.6335,11.6026
"[0.00, 1.00]",11.5914,11.6053,11.5724,11.5817,11.6261,11.5954
