Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",8.3832,8.4988,8.9019,8.8187,7.9043,8.5014
"[0.97, 0.03]",8.4558,8.5117,8.9117,8.7754,7.7448,8.4799
"[0.93, 0.07]",8.4090,8.5120,8.9428,8.9794,7.7678,8.5222
"[0.90, 0.10]",8.3912,8.5406,8.9332,9.0881,7.8176,8.5541
"[0.86, 0.14]",8.5124,8.5180,8.9566,10.7650,7.9142,8.9332
"[0.83, 0.17]",8.5460,8.5012,8.9896,10.3748,7.9905,8.8804
"[0.79, 0.21]",8.6037,8.4903,9.0877,10.1354,8.1290,8.8892
"[0.76, 0.24]",8.6198,8.8882,9.1506,10.1384,8.3893,9.0372
"[0.72, 0.28]",8.6410,8.9497,9.1799,10.2226,9.0455,9.2077
"[0.69, 0.31]",8.6518,8.9459,9.1203,10.2864,10.0721,9.4153
"[0.66, 0.34]",8.6883,8.8386,9.1111,10.1326,9.9724,9.3486
"[0.62, 0.38]",8.7147,8.8752,9.0993,10.1157,10.0090,9.3628
"[0.59, 0.41]",8.8437,9.1338,9.2586,11.4932,9.7638,9.6986
"[0.55, 0.45]",8.8552,9.3719,9.3122,10.2436,10.8411,9.7248
"[0.52, 0.48]",8.9728,9.4225,9.3172,10.0250,10.5637,9.6602
"[0.48, 0.52]",9.2714,9.8902,9.2123,9.8112,10.6729,9.7716
"[0.45, 0.55]",9.3263,9.5385,9.3423,10.3773,10.8935,9.8956
"[0.41, 0.59]",10.8169,9.5520,9.5690,11.0318,10.4901,10.2920
"[0.38, 0.62]",10.9714,9.7733,10.0106,10.6912,9.8533,10.2600
"[0.34, 0.66]",10.9463,10.0637,10.2043,10.4115,10.6238,10.4499
"[0.31, 0.69]",10.9262,10.2274,10.9420,10.6122,10.8877,10.7191
"[0.28, 0.72]",10.9311,10.4807,10.7472,10.5321,10.7012,10.6785
"[0.24, 0.76]",10.8665,10.8766,10.7759,10.7336,10.8198,10.8145
"[0.21, 0.79]",10.9112,10.7889,9.8440,10.5082,10.5895,10.5284
"[0.17, 0.83]",10.7747,10.8483,9.3649,10.5882,10.4865,10.4125
"[0.14, 0.86]",10.7858,10.9101,9.2339,10.3379,10.4038,10.3343
"[0.10, 0.90]",10.7989,10.7755,9.1658,10.4597,10.5308,10.3461
"[0.07, 0.93]",10.8177,10.2394,9.0124,10.2538,10.8342,10.2315
"[0.03, 0.97]",10.8865,10.1880,8.9118,10.1378,10.7627,10.1774
"[0.00, 1.00]",10.8608,9.9983,8.8572,10.0587,10.7021,10.0954
