Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",5.6665,9.3271,9.3732,7.6591,9.3692,8.2790
"[0.97, 0.03]",5.6960,9.3058,8.3010,7.7522,9.2140,8.0538
"[0.93, 0.07]",5.7479,9.6032,8.2778,7.7599,9.1657,8.1109
"[0.90, 0.10]",5.7522,9.6566,8.3763,7.8310,9.1226,8.1477
"[0.86, 0.14]",5.7590,9.4636,8.4516,7.8772,9.0278,8.1159
"[0.83, 0.17]",5.7651,9.6494,8.4894,8.1676,9.9629,8.4069
"[0.79, 0.21]",5.7397,9.5313,10.2222,11.1466,10.8239,9.4927
"[0.76, 0.24]",5.7031,9.3910,9.8556,9.3560,8.7326,8.6077
"[0.72, 0.28]",9.6432,10.4600,10.0051,9.7028,8.4612,9.6544
"[0.69, 0.31]",11.3658,11.3424,11.1732,11.1803,11.2233,11.2570
"[0.66, 0.34]",11.4543,11.0857,11.4400,11.2910,11.4632,11.3468
"[0.62, 0.38]",11.0983,8.9380,10.9333,10.1883,10.9999,10.4316
"[0.59, 0.41]",8.7514,8.7934,9.2138,8.9368,10.8908,9.3172
"[0.55, 0.45]",8.6604,8.7511,8.8401,9.4166,9.0415,8.9419
"[0.52, 0.48]",8.6222,8.7358,8.9843,9.0458,8.8697,8.8516
"[0.48, 0.52]",8.6155,8.7419,9.0589,9.0282,8.9124,8.8714
"[0.45, 0.55]",8.6126,8.7518,9.1059,9.0283,8.9786,8.8954
"[0.41, 0.59]",8.6059,8.7631,9.1467,9.0322,9.0228,8.9141
"[0.38, 0.62]",8.6109,8.7722,9.1681,9.0571,9.0366,8.9290
"[0.34, 0.66]",8.6129,8.7824,9.1778,9.0805,9.0506,8.9408
"[0.31, 0.69]",8.6139,8.7934,9.1890,9.1072,9.0530,8.9513
"[0.28, 0.72]",8.6179,8.8035,9.1997,9.1378,9.0578,8.9633
"[0.24, 0.76]",8.6101,8.8072,9.1947,9.1639,9.0669,8.9686
"[0.21, 0.79]",8.6193,8.8138,9.2094,9.1883,9.0663,8.9794
"[0.17, 0.83]",8.6246,8.8164,9.2291,9.2105,9.0744,8.9910
"[0.14, 0.86]",8.6161,8.8294,9.2390,9.2387,9.0707,8.9988
"[0.10, 0.90]",8.6236,8.8341,9.2395,9.2625,9.0794,9.0078
"[0.07, 0.93]",8.6235,8.8367,9.2664,9.2800,9.0759,9.0165
"[0.03, 0.97]",8.6222,8.8392,9.2846,9.2856,9.0658,9.0195
"[0.00, 1.00]",8.6296,8.8484,9.2834,9.2930,9.0662,9.0241
