Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",8.9304,9.2320,8.1440,8.0636,9.2123,8.7165
"[0.97, 0.03]",9.3788,9.3048,8.2743,7.6324,9.2171,8.7615
"[0.93, 0.07]",9.5581,9.4216,8.1744,7.6493,9.2228,8.8052
"[0.90, 0.10]",10.2696,9.5022,8.4324,8.9983,9.7463,9.3897
"[0.86, 0.14]",10.2359,9.5571,9.0360,9.8873,10.5462,9.8525
"[0.83, 0.17]",10.3149,10.4628,9.4318,9.5001,10.3157,10.0051
"[0.79, 0.21]",10.5081,10.8149,10.2180,8.2959,10.3687,10.0411
"[0.76, 0.24]",10.5475,10.3594,10.3869,9.5956,10.3940,10.2567
"[0.72, 0.28]",10.0535,10.2563,10.7449,10.1050,10.5753,10.3470
"[0.69, 0.31]",9.8735,11.5245,10.4585,10.3419,11.3986,10.7194
"[0.66, 0.34]",10.5537,11.6048,9.8732,11.5405,11.3897,10.9924
"[0.62, 0.38]",11.3079,11.2877,9.4504,10.0275,11.0964,10.6340
"[0.59, 0.41]",10.6488,10.9871,9.8925,11.3392,10.9393,10.7614
"[0.55, 0.45]",10.7336,11.2831,10.5837,10.5028,9.2839,10.4774
"[0.52, 0.48]",11.3093,10.8869,10.8994,10.9881,10.7904,10.9748
"[0.48, 0.52]",10.9102,10.8340,10.8845,11.0088,10.8911,10.9057
"[0.45, 0.55]",10.9139,10.9848,10.8778,11.0111,10.9388,10.9453
"[0.41, 0.59]",11.0462,11.0106,10.8783,11.0138,10.8854,10.9669
"[0.38, 0.62]",11.0211,11.0116,10.9844,11.0140,10.8234,10.9709
"[0.34, 0.66]",10.9846,11.0072,11.0094,11.0135,10.9357,10.9901
"[0.31, 0.69]",11.0018,11.0028,11.0101,11.0105,10.9626,10.9975
"[0.28, 0.72]",10.9069,10.9934,11.0075,11.0028,10.9260,10.9673
"[0.24, 0.76]",11.0010,10.9978,11.0015,10.9862,10.8971,10.9767
"[0.21, 0.79]",10.9716,10.9889,11.0005,10.9120,11.0010,10.9748
"[0.17, 0.83]",10.9064,10.9719,10.9583,10.8137,10.9897,10.9280
"[0.14, 0.86]",10.8707,10.9643,10.8582,10.8558,10.9168,10.8932
"[0.10, 0.90]",10.7883,10.9405,10.7765,10.7787,10.9069,10.8382
"[0.07, 0.93]",10.7696,10.8399,10.7735,10.7710,10.8156,10.7939
"[0.03, 0.97]",10.7659,10.8485,10.7730,10.7675,10.8205,10.7951
"[0.00, 1.00]",10.7638,10.8235,10.7691,10.7647,10.7853,10.7813
