Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",11.2540,10.9837,11.0879,11.3239,10.8997,11.1098
"[0.97, 0.03]",11.3392,11.0438,11.0487,11.2491,10.8795,11.1121
"[0.93, 0.07]",11.3117,10.7749,11.0147,11.3357,10.8623,11.0599
"[0.90, 0.10]",11.3317,11.1013,11.1528,11.3676,10.9488,11.1805
"[0.86, 0.14]",11.3743,10.6072,11.0380,11.3520,11.0154,11.0774
"[0.83, 0.17]",11.3543,11.1421,11.0697,11.3805,11.2304,11.2354
"[0.79, 0.21]",11.3636,11.2127,11.0821,11.2979,11.1027,11.2118
"[0.76, 0.24]",11.3625,11.2896,10.9201,11.4102,11.2914,11.2548
"[0.72, 0.28]",11.3696,11.1956,11.1228,11.4128,11.3545,11.2911
"[0.69, 0.31]",11.2808,11.2487,10.7820,11.4317,11.3733,11.2233
"[0.66, 0.34]",10.9498,11.3944,10.6665,11.4452,11.1950,11.1302
"[0.62, 0.38]",10.9761,11.4239,10.4863,11.2348,11.3547,11.0952
"[0.59, 0.41]",10.6242,11.4687,10.4783,11.4285,11.3800,11.0759
"[0.55, 0.45]",10.6061,11.4509,10.4437,11.3272,11.3714,11.0399
"[0.52, 0.48]",11.1616,11.4743,10.3906,11.4335,11.2324,11.1385
"[0.48, 0.52]",10.8705,11.4647,10.4155,11.2080,11.3109,11.0539
"[0.45, 0.55]",11.0413,11.4422,10.4977,10.8194,11.2842,11.0170
"[0.41, 0.59]",11.0262,11.4562,10.5876,10.9795,11.3377,11.0774
"[0.38, 0.62]",11.1000,11.4178,10.6804,10.8964,11.2204,11.0630
"[0.34, 0.66]",10.9724,11.3710,10.6550,10.6078,11.2258,10.9664
"[0.31, 0.69]",10.7667,11.3641,10.5492,10.6664,11.2810,10.9255
"[0.28, 0.72]",11.0436,11.3071,10.7002,10.7614,11.1293,10.9883
"[0.24, 0.76]",10.9931,11.1349,10.7217,10.5842,11.1315,10.9131
"[0.21, 0.79]",10.9323,11.0183,10.7876,10.4201,11.0711,10.8459
"[0.17, 0.83]",10.7984,11.0344,10.5856,10.4142,10.9972,10.7660
"[0.14, 0.86]",10.9459,11.0330,10.5718,10.4150,11.0283,10.7988
"[0.10, 0.90]",10.7152,10.9927,10.4451,10.4060,10.9810,10.7080
"[0.07, 0.93]",10.7502,10.9471,10.4511,10.4139,10.8576,10.6840
"[0.03, 0.97]",10.7290,10.8534,10.3604,10.4131,10.7808,10.6273
"[0.00, 1.00]",10.6709,10.8930,10.4219,10.4058,10.7486,10.6280
