Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",11.4831,11.7041,11.6938,11.6946,11.4460,11.6043
"[0.97, 0.03]",11.5939,11.7245,11.4324,11.7222,11.7251,11.6396
"[0.93, 0.07]",11.7045,11.7352,11.5772,11.7438,11.7495,11.7020
"[0.90, 0.10]",11.7418,11.7407,11.7516,11.7612,11.7665,11.7524
"[0.86, 0.14]",11.7613,11.7746,11.4089,11.7786,11.6489,11.6744
"[0.83, 0.17]",11.7837,11.7909,11.7792,11.8018,11.8135,11.7938
"[0.79, 0.21]",11.8084,11.8158,11.8040,11.8302,11.8436,11.8204
"[0.76, 0.24]",11.8359,11.7165,11.8252,11.8565,11.8777,11.8224
"[0.72, 0.28]",11.8808,11.8649,11.8668,11.8773,11.8204,11.8620
"[0.69, 0.31]",11.9126,11.8847,11.8871,11.9157,11.8971,11.8995
"[0.66, 0.34]",11.9548,11.9502,11.9274,11.9320,11.7253,11.8979
"[0.62, 0.38]",11.9910,11.9898,11.9565,11.9543,11.9864,11.9756
"[0.59, 0.41]",12.0818,12.0365,12.0240,12.0155,12.0326,12.0381
"[0.55, 0.45]",12.0873,12.0468,12.0401,12.0667,12.0803,12.0642
"[0.52, 0.48]",12.0615,12.0683,12.0826,12.0751,12.0381,12.0651
"[0.48, 0.52]",12.0732,12.0559,12.0511,12.0430,12.0084,12.0463
"[0.45, 0.55]",11.9763,11.9289,11.9348,11.9035,11.4199,11.8327
"[0.41, 0.59]",11.8469,11.8172,11.7369,11.3223,11.2891,11.6025
"[0.38, 0.62]",11.5239,11.5896,11.2423,11.2410,11.2644,11.3723
"[0.34, 0.66]",11.4632,11.3045,11.1676,11.1852,11.2462,11.2733
"[0.31, 0.69]",11.4042,11.2959,11.1513,11.1441,11.2309,11.2453
"[0.28, 0.72]",11.2614,11.2676,11.1235,11.1303,11.0982,11.1762
"[0.24, 0.76]",11.0841,11.2280,11.2099,11.1666,11.0730,11.1523
"[0.21, 0.79]",10.9980,11.0717,11.2049,11.1395,11.0177,11.0864
"[0.17, 0.83]",10.7446,10.7658,10.8337,10.7892,10.8457,10.7958
"[0.14, 0.86]",10.7318,10.7551,10.7876,10.7588,10.7448,10.7556
"[0.10, 0.90]",10.7297,10.7488,10.7714,10.7500,10.7359,10.7472
"[0.07, 0.93]",10.7283,10.7454,10.7586,10.7451,10.7318,10.7418
"[0.03, 0.97]",10.7271,10.7433,10.7517,10.7415,10.7298,10.7387
"[0.00, 1.00]",10.7263,10.7412,10.7462,10.7391,10.7286,10.7363
