Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",11.7284,11.4428,11.5176,11.3219,11.0155,11.4052
"[0.97, 0.03]",11.7602,11.3673,10.3245,11.6127,10.9940,11.2117
"[0.93, 0.07]",11.7630,11.7251,11.5518,11.7460,11.3815,11.6335
"[0.90, 0.10]",11.7880,11.7554,11.7488,11.4816,11.7347,11.7017
"[0.86, 0.14]",11.5668,11.7004,11.7059,11.6870,11.3968,11.6114
"[0.83, 0.17]",11.8304,11.7971,11.7795,11.8152,11.7333,11.7911
"[0.79, 0.21]",11.8520,11.2230,11.7064,11.8410,11.5116,11.6268
"[0.76, 0.24]",11.8770,11.8633,11.8621,11.6455,11.8459,11.8188
"[0.72, 0.28]",11.9112,11.8919,11.8859,11.8977,11.8896,11.8953
"[0.69, 0.31]",11.8796,11.9175,11.7897,11.9272,11.9120,11.8852
"[0.66, 0.34]",11.9704,11.9570,11.9478,11.9546,11.9459,11.9551
"[0.62, 0.38]",12.0062,11.9943,11.9886,12.0056,11.9846,11.9959
"[0.59, 0.41]",12.1234,12.0881,12.0608,12.1259,12.0824,12.0961
"[0.55, 0.45]",12.1872,12.1861,12.1859,12.1799,12.1698,12.1818
"[0.52, 0.48]",12.1715,12.1706,12.1964,12.1925,12.2011,12.1864
"[0.48, 0.52]",12.1063,12.1075,12.1094,12.1033,12.1047,12.1063
"[0.45, 0.55]",12.0378,12.0411,12.0498,12.0138,12.0405,12.0366
"[0.41, 0.59]",11.9202,11.9175,11.9243,11.9033,11.9250,11.9181
"[0.38, 0.62]",11.8040,11.8006,11.8104,11.8004,11.8021,11.8035
"[0.34, 0.66]",11.6489,11.5847,11.6639,11.6088,11.6265,11.6266
"[0.31, 0.69]",11.4780,11.4759,11.4750,11.4684,11.4772,11.4749
"[0.28, 0.72]",11.3536,11.3612,11.3913,11.3133,11.3611,11.3561
"[0.24, 0.76]",11.2183,11.1953,11.2288,11.1649,11.2227,11.2060
"[0.21, 0.79]",10.9271,10.9891,10.9932,10.9712,10.9996,10.9760
"[0.17, 0.83]",10.7708,10.7852,10.8453,10.7763,10.7836,10.7923
"[0.14, 0.86]",10.7444,10.7503,10.7528,10.7461,10.7463,10.7480
"[0.10, 0.90]",10.7375,10.7448,10.7411,10.7378,10.7378,10.7398
"[0.07, 0.93]",10.7344,10.7410,10.7373,10.7345,10.7333,10.7361
"[0.03, 0.97]",10.7330,10.7390,10.7350,10.7321,10.7309,10.7340
"[0.00, 1.00]",10.7320,10.7362,10.7333,10.7302,10.7296,10.7323
