Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",4.5118,4.9526,4.5818,4.6370,4.7186,4.6804
"[0.97, 0.03]",4.5103,4.8971,4.5601,4.6341,4.7159,4.6635
"[0.93, 0.07]",4.5090,4.8925,4.5115,4.6304,4.7126,4.6512
"[0.90, 0.10]",4.5074,4.8881,4.5092,4.6285,4.7682,4.6603
"[0.86, 0.14]",4.5056,4.8279,4.5071,4.6269,4.7650,4.6465
"[0.83, 0.17]",4.5039,4.8235,4.5046,4.6863,4.7598,4.6556
"[0.79, 0.21]",4.5681,4.7619,4.5681,4.6851,4.8136,4.6794
"[0.76, 0.24]",4.5666,4.7560,4.5648,4.7436,4.8109,4.6884
"[0.72, 0.28]",4.5655,4.7514,4.7437,4.7502,9.4947,5.6611
"[0.69, 0.31]",4.6289,4.7473,4.8541,4.8569,9.8011,5.7777
"[0.66, 0.34]",4.6898,4.8602,8.6354,9.7050,9.9766,7.5734
"[0.62, 0.38]",4.8104,9.0007,11.4384,11.2498,10.6583,9.4315
"[0.59, 0.41]",10.4300,11.3587,11.4238,9.4385,11.3069,10.7916
"[0.55, 0.45]",11.5030,11.4765,11.4640,11.5078,11.5283,11.4959
"[0.52, 0.48]",8.2821,11.4522,9.0285,11.5298,8.6282,9.7842
"[0.48, 0.52]",11.5649,11.5578,11.5463,11.5551,11.5658,11.5580
"[0.45, 0.55]",11.5200,11.5609,11.5722,11.5725,11.5711,11.5593
"[0.41, 0.59]",11.5423,11.5084,11.5482,11.5608,11.5752,11.5470
"[0.38, 0.62]",11.5258,11.4587,11.4904,11.5065,11.5208,11.5004
"[0.34, 0.66]",11.5035,11.2805,11.0378,11.4998,11.4417,11.3527
"[0.31, 0.69]",11.4951,9.7620,11.3422,11.3717,9.8082,10.7558
"[0.28, 0.72]",10.9153,11.1619,11.3593,9.6850,9.8920,10.6027
"[0.24, 0.76]",11.2212,9.2517,9.8106,10.1890,10.9969,10.2939
"[0.21, 0.79]",9.4396,9.7436,9.6882,11.3541,10.3895,10.1230
"[0.17, 0.83]",8.9317,8.9105,8.8297,11.3432,10.5441,9.7118
"[0.14, 0.86]",9.1979,8.8594,8.6120,11.2994,7.9077,9.1753
"[0.10, 0.90]",9.9773,10.2950,8.5313,9.9076,7.8398,9.3102
"[0.07, 0.93]",7.8795,10.5253,8.6096,8.6662,7.5272,8.6415
"[0.03, 0.97]",8.5742,9.0080,8.7086,8.1971,7.3303,8.3636
"[0.00, 1.00]",8.7652,10.2281,8.8930,7.7301,7.3154,8.5863
