Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",4.2813,4.1965,4.1867,4.1965,4.1949,4.2112
"[0.97, 0.03]",4.2787,4.2728,4.2476,4.1929,4.1999,4.2383
"[0.93, 0.07]",4.2764,4.2705,4.2616,4.1891,4.2683,4.2532
"[0.90, 0.10]",4.2742,4.2683,4.2604,4.2492,4.2667,4.2638
"[0.86, 0.14]",4.2723,4.2662,4.2600,4.2625,4.2655,4.2653
"[0.83, 0.17]",4.2708,4.2645,4.2600,4.2604,4.2654,4.2642
"[0.79, 0.21]",4.3447,4.3386,4.3356,4.2593,4.3411,4.3239
"[0.76, 0.24]",4.3443,4.3383,4.3367,4.3341,4.3420,4.3391
"[0.72, 0.28]",4.4166,4.4112,4.4106,4.3782,4.4162,4.4066
"[0.69, 0.31]",4.4869,4.4829,4.4829,4.4789,4.5551,4.4973
"[0.66, 0.34]",4.5558,4.6788,4.6181,4.7338,4.6856,4.6544
"[0.62, 0.38]",4.6242,4.9139,4.7459,8.1456,4.8652,5.4589
"[0.59, 0.41]",4.8632,8.3033,8.2383,8.2791,7.8536,7.5075
"[0.55, 0.45]",8.1811,8.5081,8.2989,8.4553,8.1309,8.3148
"[0.52, 0.48]",8.3106,11.1062,8.4911,10.3024,8.3969,9.3214
"[0.48, 0.52]",11.5018,9.9521,10.7249,6.5284,11.3263,10.0067
"[0.45, 0.55]",11.5777,11.4780,11.5390,11.5494,11.5486,11.5385
"[0.41, 0.59]",11.5911,11.5677,11.4758,11.5597,11.5638,11.5516
"[0.38, 0.62]",11.5803,11.5708,11.5748,11.5862,11.5689,11.5762
"[0.34, 0.66]",11.5537,11.5628,11.5530,11.5630,11.5500,11.5565
"[0.31, 0.69]",11.5006,11.5308,11.5121,11.5190,11.4906,11.5107
"[0.28, 0.72]",11.3211,11.4977,11.4235,11.0358,11.2764,11.3109
"[0.24, 0.76]",10.9033,11.3644,11.1372,10.8898,10.3919,10.9373
"[0.21, 0.79]",10.9384,11.1853,9.3893,11.1887,9.0041,10.3412
"[0.17, 0.83]",9.6658,10.1367,9.0734,10.8791,9.1949,9.7900
"[0.14, 0.86]",10.4239,10.4657,9.1118,10.9641,9.0066,9.9944
"[0.10, 0.90]",10.0329,10.5533,9.0422,10.6382,9.0036,9.8540
"[0.07, 0.93]",10.4288,9.8682,8.7261,10.4063,8.9128,9.6684
"[0.03, 0.97]",10.0141,9.7307,8.7105,10.7506,8.9399,9.6292
"[0.00, 1.00]",9.9172,9.8314,8.6685,10.0264,8.9249,9.4737
