Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",11.7747,11.1938,11.7877,11.8041,11.7965,11.6714
"[0.97, 0.03]",11.7865,11.1946,11.7785,11.8062,11.7943,11.6720
"[0.93, 0.07]",11.7986,11.2031,11.7720,11.8072,11.7879,11.6737
"[0.90, 0.10]",11.8063,11.2200,11.7680,11.8078,11.7830,11.6770
"[0.86, 0.14]",11.8080,11.2473,11.7663,11.8090,11.7806,11.6823
"[0.83, 0.17]",11.8062,11.2876,11.7669,11.8118,11.7797,11.6905
"[0.79, 0.21]",11.8016,11.3375,11.7689,11.8133,11.7799,11.7002
"[0.76, 0.24]",11.7922,11.4082,11.7717,11.8165,11.7804,11.7138
"[0.72, 0.28]",11.7830,11.4850,11.7718,11.8142,11.7827,11.7273
"[0.69, 0.31]",11.7830,11.5631,11.7791,11.8114,11.7832,11.7440
"[0.66, 0.34]",11.7862,11.6549,11.7857,11.8100,11.7820,11.7637
"[0.62, 0.38]",11.7908,11.7211,11.7868,11.8177,11.7833,11.7799
"[0.59, 0.41]",11.8063,11.7744,11.7890,11.8197,11.7849,11.7949
"[0.55, 0.45]",11.8053,11.8092,11.7896,11.8170,11.7913,11.8025
"[0.52, 0.48]",11.8052,11.8114,11.7942,11.8134,11.7945,11.8037
"[0.48, 0.52]",11.8120,11.8089,11.7987,11.8083,11.7971,11.8050
"[0.45, 0.55]",11.8123,11.8034,11.8028,11.8008,11.8075,11.8054
"[0.41, 0.59]",11.7871,11.8177,11.8071,11.8009,11.8154,11.8057
"[0.38, 0.62]",11.8048,11.8123,11.8167,11.8051,11.8186,11.8115
"[0.34, 0.66]",11.8071,11.8126,11.8046,11.8078,11.8122,11.8089
"[0.31, 0.69]",11.8086,11.8178,11.8061,11.8099,11.8120,11.8109
"[0.28, 0.72]",11.8094,11.8197,11.8081,11.8087,11.8112,11.8114
"[0.24, 0.76]",11.8075,11.8179,11.8073,11.8082,11.8104,11.8103
"[0.21, 0.79]",11.8056,11.8174,11.8088,11.8083,11.8111,11.8102
"[0.17, 0.83]",11.8063,11.8165,11.8081,11.8080,11.8115,11.8101
"[0.14, 0.86]",11.8053,11.8156,11.8092,11.8092,11.8148,11.8108
"[0.10, 0.90]",11.8062,11.8146,11.8081,11.8095,11.8128,11.8102
"[0.07, 0.93]",11.8064,11.8153,11.8068,11.8091,11.8059,11.8087
"[0.03, 0.97]",11.8059,11.8140,11.8059,11.8083,11.8069,11.8082
"[0.00, 1.00]",11.8055,11.8161,11.8062,11.8077,11.8074,11.8086
