Preference,Seed_0,Seed_1,Seed_2,Seed_3,Seed_4,Avg_All_Seeds
"[1.00, 0.00]",10.0944,10.1583,10.2096,10.2450,10.6560,10.2727
"[0.97, 0.03]",10.1140,10.1561,10.2226,10.1618,10.3454,10.2000
"[0.93, 0.07]",10.1526,10.1709,10.2202,10.1905,10.1449,10.1758
"[0.90, 0.10]",10.2397,10.2290,10.2491,10.2269,10.2313,10.2352
"[0.86, 0.14]",10.3856,10.4176,10.4472,10.3544,10.4153,10.4040
"[0.83, 0.17]",10.6806,10.7071,10.7744,10.5864,10.7607,10.7018
"[0.79, 0.21]",10.9641,10.9732,11.0079,10.8971,10.9990,10.9683
"[0.76, 0.24]",11.1467,11.1772,11.1923,11.1011,11.1766,11.1588
"[0.72, 0.28]",11.3040,11.3139,11.3244,11.2675,11.3064,11.3033
"[0.69, 0.31]",11.4103,11.4151,11.4203,11.3839,11.4153,11.4090
"[0.66, 0.34]",11.4936,11.5015,11.5004,11.4875,11.5009,11.4968
"[0.62, 0.38]",11.5615,11.5620,11.5564,11.5563,11.5573,11.5587
"[0.59, 0.41]",11.6075,11.6004,11.5899,11.5976,11.6039,11.5999
"[0.55, 0.45]",11.6271,11.5791,11.5725,11.6245,11.6295,11.6065
"[0.52, 0.48]",11.6504,11.5792,11.5724,11.6406,11.6432,11.6172
"[0.48, 0.52]",11.5773,11.5900,11.6378,11.5763,11.6503,11.6063
"[0.45, 0.55]",11.6673,11.6018,11.6358,11.5865,11.6443,11.6271
"[0.41, 0.59]",11.6555,11.6045,11.5829,11.5902,11.6497,11.6166
"[0.38, 0.62]",11.6463,11.6023,11.5910,11.5993,11.6435,11.6165
"[0.34, 0.66]",11.6382,11.5846,11.5994,11.5997,11.6027,11.6049
"[0.31, 0.69]",11.6309,11.5851,11.6403,11.5798,11.6025,11.6077
"[0.28, 0.72]",11.6228,11.5846,11.6319,11.5797,11.6496,11.6137
"[0.24, 0.76]",11.6241,11.5938,11.5896,11.5740,11.6323,11.6028
"[0.21, 0.79]",11.6101,11.5915,11.6243,11.5868,11.6057,11.6037
"[0.17, 0.83]",11.5984,11.5889,11.6096,11.5944,11.5929,11.5968
"[0.14, 0.86]",11.5929,11.5865,11.5833,11.5899,11.5975,11.5900
"[0.10, 0.90]",11.5937,11.5836,11.5824,11.5884,11.5824,11.5861
"[0.07, 0.93]",11.5967,11.5940,11.5622,11.5846,11.5767,11.5829
"[0.03, 0.97]",11.5908,11.5917,11.5622,11.5787,11.5741,11.5795
"[0.00, 1.00]",11.5853,11.5905,11.5568,11.5763,11.5748,11.5767
