Group (Env/Type/Grad)                              | H-Statistic  | P-Value      | Significance   
----------------------------------------------------------------------------------------------------
Ant-v2/amateur/Fixed-Grad0                         | 60.8201      | < 0.001      | SIGNIFICANT    
Ant-v2/amateur/Fixed-Grad0.0001                    | 59.8181      | < 0.001      | SIGNIFICANT    
Ant-v2/amateur/Fixed-Grad0.1                       | 63.2856      | < 0.001      | SIGNIFICANT    
Ant-v2/expert/Fixed-Grad0                          | 47.1837      | < 0.001      | SIGNIFICANT    
Ant-v2/expert/Fixed-Grad0.0001                     | 52.7054      | < 0.001      | SIGNIFICANT    
Ant-v2/expert/Fixed-Grad0.1                        | 35.6895      | < 0.001      | SIGNIFICANT    
HalfCheetah-v2/amateur/Fixed-Grad0                 | 66.8894      | < 0.001      | SIGNIFICANT    
HalfCheetah-v2/amateur/Fixed-Grad0.0001            | 62.0095      | < 0.001      | SIGNIFICANT    
HalfCheetah-v2/amateur/Fixed-Grad0.1               | 66.4743      | < 0.001      | SIGNIFICANT    
HalfCheetah-v2/expert/Fixed-Grad0                  | 56.8699      | < 0.001      | SIGNIFICANT    
HalfCheetah-v2/expert/Fixed-Grad0.0001             | 53.0579      | < 0.001      | SIGNIFICANT    
HalfCheetah-v2/expert/Fixed-Grad0.1                | 57.2693      | < 0.001      | SIGNIFICANT    
Hopper-v2/amateur/Fixed-Grad0                      | 61.4923      | < 0.001      | SIGNIFICANT    
Hopper-v2/amateur/Fixed-Grad0.0001                 | 57.7788      | < 0.001      | SIGNIFICANT    
Hopper-v2/amateur/Fixed-Grad0.1                    | 60.3090      | < 0.001      | SIGNIFICANT    
Hopper-v2/expert/Fixed-Grad0                       | 60.6420      | < 0.001      | SIGNIFICANT    
Hopper-v2/expert/Fixed-Grad0.0001                  | 57.1366      | < 0.001      | SIGNIFICANT    
Hopper-v2/expert/Fixed-Grad0.1                     | 60.1912      | < 0.001      | SIGNIFICANT    
Hopper-v3/amateur/Fixed-Grad0                      | 62.4116      | < 0.001      | SIGNIFICANT    
Hopper-v3/amateur/Fixed-Grad0.0001                 | 55.6563      | < 0.001      | SIGNIFICANT    
Hopper-v3/amateur/Fixed-Grad0.1                    | 59.8223      | < 0.001      | SIGNIFICANT    
Hopper-v3/expert/Fixed-Grad0                       | 36.6881      | < 0.001      | SIGNIFICANT    
Hopper-v3/expert/Fixed-Grad0.0001                  | 46.7355      | < 0.001      | SIGNIFICANT    
Hopper-v3/expert/Fixed-Grad0.1                     | 37.5463      | < 0.001      | SIGNIFICANT    
Swimmer-v2/amateur/Fixed-Grad0                     | 52.9202      | < 0.001      | SIGNIFICANT    
Swimmer-v2/amateur/Fixed-Grad0.0001                | 54.0313      | < 0.001      | SIGNIFICANT    
Swimmer-v2/amateur/Fixed-Grad0.1                   | 61.6752      | < 0.001      | SIGNIFICANT    
Swimmer-v2/expert/Fixed-Grad0                      | 41.0522      | < 0.001      | SIGNIFICANT    
Swimmer-v2/expert/Fixed-Grad0.0001                 | 15.3640      | 0.0176       | SIGNIFICANT    
Swimmer-v2/expert/Fixed-Grad0.1                    | 26.4109      | < 0.001      | SIGNIFICANT    
Walker2d-v2/amateur/Fixed-Grad0                    | 56.1406      | < 0.001      | SIGNIFICANT    
Walker2d-v2/amateur/Fixed-Grad0.0001               | 57.0340      | < 0.001      | SIGNIFICANT    
Walker2d-v2/amateur/Fixed-Grad0.1                  | 57.1514      | < 0.001      | SIGNIFICANT    
Walker2d-v2/expert/Fixed-Grad0                     | 57.2369      | < 0.001      | SIGNIFICANT    
Walker2d-v2/expert/Fixed-Grad0.0001                | 50.8998      | < 0.001      | SIGNIFICANT    
Walker2d-v2/expert/Fixed-Grad0.1                   | 53.6441      | < 0.001      | SIGNIFICANT    
